feature,importance
chest_acc16_y_max,0.01814446997559782
ankle_acc16_x_mean,0.017442521284980063
ankle_gyro_z_range,0.013912260974696427
hand_acc16_y_b4,0.013822108837181123
ankle_acc16_x_max,0.012949316749141175
heart_rate_mean,0.012683402020322719
hand_acc16_x_mean,0.012540703607725863
chest_acc16_y_mad,0.012531468835368036
heart_rate_rms,0.012494780687708689
hand_acc16_x_min,0.012265518093188836
ankle_acc16_x_rms,0.012032316218506721
heart_rate_min,0.011365000414438685
ankle_acc16_x_min,0.010947060494014843
chest_acc16_z_mean,0.010726649739415468
ankle_gyro_z_mad,0.010587407321963815
chest_acc16_y_b2,0.010532161791506846
chest_acc16_z_min,0.010340868588721217
hand_acc16_x_rms,0.010131612660713184
hand_acc16_x_max,0.009919279976547919
chest_acc16_z_max,0.00979880642732625
chest_gyro_y_std,0.009598964111920722
chest_mag_y_min,0.00952469047756724
chest_acc16_y_total_pwr,0.009047010919427364
hand_acc16_y_range,0.00903311678180043
hand_acc16_y_rms,0.008963216190511427
hand_acc16_z_entropy,0.008770144317265978
hand_acc16_y_mad,0.008596006367035143
heart_rate_max,0.00855976608297915
hand_acc16_y_total_pwr,0.008254600492500326
chest_acc16_y_std,0.00819404203229852
