feature,importance
chest_acc16_y_std,0.014032077785877744
hand_acc16_x_mean,0.013640308041487408
chest_acc16_y_max,0.013581916476933794
ankle_acc16_x_mean,0.013234329806568542
chest_acc16_z_min,0.01278489028252876
heart_rate_max,0.01271223691645145
heart_rate_min,0.01197699848535781
chest_acc16_y_b2,0.011942314903605521
chest_acc16_y_total_pwr,0.011567522097808133
chest_acc16_z_mean,0.011229309075555576
hand_acc16_y_rms,0.010903107947772273
ankle_acc16_x_rms,0.010665642989762152
ankle_gyro_z_rms,0.010483932974049918
ankle_acc16_x_min,0.009706875549238735
ankle_gyro_z_mad,0.009591289214676132
hand_acc16_y_b4,0.009402557471061168
ankle_gyro_z_total_pwr,0.009377037930814588
chest_gyro_y_std,0.009232820175594432
heart_rate_mean,0.009188298160370936
chest_acc16_y_min,0.0090238808658017
heart_rate_rms,0.00892215179362059
ankle_acc16_x_max,0.008623052109638322
hand_acc16_x_rms,0.00844541513829355
hand_acc16_x_min,0.008408823097868385
chest_gyro_y_b2,0.00814853802723028
ankle_gyro_z_range,0.008057907688151253
chest_mag_y_min,0.007940029188575386
chest_acc16_y_dom_pwr,0.007921894290213297
hand_acc16_x_max,0.007793336498169321
chest_acc16_y_range,0.007755579247522709
